CellID,MatchKey,Condition,Chip,spot_class,first_type,second_type,doublet_pair,first_class,second_class,min_score,singlet_score,both_types_supported,contact_evidence,duct2_fib_status,nCount_Spatial.Polygons,nFeature_Spatial.Polygons,x,y,cell_id,geometry_valid_before_repair_cell,area_um2_cell,perimeter_um_cell,equivalent_diameter_um_cell,major_axis_um_cell,minor_axis_um_cell,aspect_ratio_cell,eccentricity_cell,orientation_deg_cell,circularity_cell,solidity_cell,convexity_cell,extent_rotated_cell,boundary_complexity_cell,centroid_x_px_cell,centroid_y_px_cell,centroid_x_um_cell,centroid_y_um_cell,geometry_valid_before_repair_nuc,area_um2_nuc,perimeter_um_nuc,equivalent_diameter_um_nuc,major_axis_um_nuc,minor_axis_um_nuc,aspect_ratio_nuc,eccentricity_nuc,orientation_deg_nuc,circularity_nuc,solidity_nuc,convexity_nuc,extent_rotated_nuc,boundary_complexity_nuc,centroid_x_px_nuc,centroid_y_px_nuc,centroid_x_um_nuc,centroid_y_um_nuc,cytoplasm_area_um2,nucleus_fraction,nc_ratio,nucleus_centroid_displacement_um,nucleus_centroid_displacement_norm,cell_nucleus_orientation_difference_deg,cytoplasm_thickness_proxy_um,morph_qc_positive_geometry,morph_qc_nucleus_nested,morph_qc_shape_range,morph_qc_size_range,morph_qc_pass,is_singlet,is_doublet,sample,nearest_first_type_distance,nearest_second_type_distance,first_type_supported,second_type_supported,support_radius,Duct2_program,Fibroblast_program,program_overlap,stg_pair_display,display_class,max_constituent_distance,KRT19,COL1A1
PC1_cellid_000152206-1,PC1_A2,PASC,PC1,doublet_certain,Fibroblast,Duct2,Duct2__Fibroblast,FALSE,FALSE,242.808095823689,264.999882095292,TRUE,spatially_supported_contact,Supported Duct2-Fibroblast doublet,229,212,11087.8708103312,18828.1221176338,152206,TRUE,80.0365349943545,48.0280649377002,10.0948343908353,14.4132805357347,8.87498894023128,1.6240336329833,0.787940961721089,123.56969840868,0.436021559843697,0.784358911312224,0.804437396575615,0.625687701141231,1.51441888863532,11086.0335242839,18829.2,3033.78147270997,5152.76072193189,TRUE,27.9903955307038,23.973063275781,5.96979718771672,6.02047542635133,5.99310962896243,1.00456620958635,0.0952378492653604,89.9999999883605,0.612028767720367,0.875203428109234,0.903168997159999,0.775757575530775,1.27824493844161,11089.65,18818.25,3034.77115012704,5149.76416711782,52.0461394636507,0.34972023125665,0.537799648807276,3.15575698424433,0.625222139524564,33.56969842032,2.06251860155931,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,PC1_A2,28.8697105181395,12.3322116826671,TRUE,TRUE,30,-0.367460388812933,-0.730609930882624,0,Supported Duct2-Fibroblast,Supported Duct2-Fibroblast,28.8697105181395,0,0
PC1_cellid_000152252-1,PC1_A2,PASC,PC1,singlet,Fibroblast,Bcell,,FALSE,FALSE,163.958480920174,172.607309680067,,,Fibroblast singlet,163,142,11755.0467509068,18593.1643266213,152252,TRUE,100.100337484208,48.0003737997086,11.2894511879998,14.0182115146716,10.0090988468599,1.40054681498492,0.700138728011834,89.8044520235197,0.54595414406784,0.862052175029074,0.843289057373493,0.713424393772427,1.35338673795743,11757.4940273038,18585.65,3217.53199351219,5086.11132239147,TRUE,24.0276606754347,24.0001166954802,5.53109100805993,8.01822000123557,4.00461155906589,2.0022466292902,0.86634907093046,89.7383772510154,0.524197140290048,0.856728971939792,0.902951496699535,0.748295485992393,1.38118761709169,11750.15,18581.95,3215.52224188006,5085.09878788809,76.0726768087736,0.240035760886669,0.315851389490017,2.25040612853977,0.398674140501199,0.0660747725043791,2.87918008996992,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,-0.367460388812933,0.246136244298119,0,Fibroblast singlet,Fibroblast singlet,,0,5.91106262359492
PC1_cellid_000152253-1,PC1_A2,PASC,PC1,singlet,Duct2,Fibroblast,,FALSE,FALSE,520.768749712139,540.151923153797,,,Duct2 singlet,850,735,11483.3599059867,18674.2811884806,152253,TRUE,143.808370573741,59.9867467194717,13.5315373952266,15.9908308169981,14.0022702731605,1.14201700880778,0.4829576684363,89.7383772495839,0.502207750524442,0.827199927627605,0.814304419711908,0.642265628408407,1.41110163306758,11483.7002559727,18663.4,3142.60614478657,5107.38822986127,TRUE,76.0726768087745,35.9864045187166,9.84168381867601,9.99546272738662,8.0182253340956,1.24659289400011,0.597073536100274,89.804452024483,0.738178934112312,0.97444014368989,0.968015739989388,0.949177723901298,1.16390940146588,11480.0951369863,18670.7,3141.61957522913,5109.38593307065,67.7356937649668,0.528986431735394,1.12308109017832,2.22803447110772,0.329309878506575,0.0660747748990644,1.8449267882753,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,0.743129048495401,-0.637406109439018,0.132650636025799,Duct2 singlet,Duct2 singlet,,2.54668400948424,3.59165567984917
PC1_cellid_000152270-1,PC1_A2,PASC,PC1,singlet,Duct2,Myeloid,,FALSE,FALSE,382.683440662467,385.255926010896,,,Duct2 singlet,540,450,11205.7746444453,18004.8783149942,152270,TRUE,91.9816549620461,51.968679940219,10.8219536354515,16.0090850304562,10.0091339320004,1.59944757806629,0.780451871149885,179.80411775629,0.427984176443992,0.851466719346858,0.835891149633268,0.574034781111472,1.52857285747715,11203.575,18010.25,3065.94763480223,4928.64852421632,TRUE,48.0545724640034,28.0227948818134,7.82208296852639,8.02513679382078,5.99316812058098,1.33904750020235,0.665049254833881,179.804452014526,0.768991759505277,0.999999999984436,0.999999999902345,0.999138773745349,1.14035259938343,11199.9,18003,3064.94194174819,4926.66450390563,43.9270824980426,0.522436484520828,1.09396230571892,2.22435498789231,0.411081965181362,0.000334258236165397,1.49993533346256,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,1.33106024338355,-0.816185676362204,0.0641616244184666,Duct2 singlet,Duct2 singlet,,2.97136368253703,2.97136368253703
PC1_cellid_000152277-1,PC1_A2,PASC,PC1,singlet,Fibroblast,Tcell,,FALSE,FALSE,254.877474045917,263.034441953119,,,Fibroblast singlet,283,246,11766.2010007888,18333.1528713572,152277,TRUE,112.182129305083,52.1054898601322,11.9513481768303,14.0296566547299,12.0137097271306,1.16780386493365,0.51646520153219,89.7389731871304,0.519238129371699,0.874863483715151,0.85540794393115,0.665578832929523,1.3877674967805,11763.8247722096,18326.05,3219.26445233631,5015.06971237015,TRUE,35.9181119018579,23.9726884272439,6.7625705501435,5.99317210698157,5.99317210616548,0.999999999679553,1.65026912400243e-05,89.7383772606221,0.785398163396441,0.999999999979127,0.999999999885846,1.00000000005841,1.12837916656438,11760.2,18337.1,3218.27250451764,5018.09363298161,76.2640174032246,0.3201767707669,0.470970624419656,3.18246073650641,0.532569327592759,0.000595926508381695,2.59438881334339,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,-0.367460388812933,0.139906710588552,0,Fibroblast singlet,Fibroblast singlet,,0,5.6478662737766
PC1_cellid_000152283-1,PC1_A2,PASC,PC1,singlet,Duct2,Endothelium,,FALSE,FALSE,250.230990175663,250.873618264824,,,Duct2 singlet,278,259,11357.3744910413,18711.7384042035,152283,TRUE,64.0185938019782,39.9546889640283,9.02834454520961,10.002339201533,10.0021517689108,1.00001873895636,0.00612187932577102,89.6075692923537,0.503941919827404,0.8006874944312,0.854757876996621,0.639898529268005,1.40867159294588,11359.6542237443,18711.3,3108.6599589381,5120.4964468105,TRUE,24.0272862320001,24.0001785354049,5.53104791004863,6.00683906517879,6.00683906411036,0.999999999722291,1.88610031415561e-05,89.6075692860376,0.524186269987364,0.800548936415716,0.85372265724869,0.665905695002232,1.38120193819325,11352.3628424658,18711.35,3106.66461431057,5120.51012970919,39.9913075699781,0.375317307071254,0.600812718712642,1.9953915416101,0.442028220610734,6.31609964329982e-09,1.74864831758049,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,0.695991553056929,-0.983669293915148,0,Duct2 singlet,Duct2 singlet,,3.61013985386154,0
PC1_cellid_000152292-1,PC1_A2,PASC,PC1,singlet,Fibroblast,Myeloid,,FALSE,FALSE,336.408279674996,347.53265127013,,,Fibroblast singlet,417,297,11778.167603586,18789.3102001504,152292,TRUE,175.980924811673,64.0098960415687,14.9688300340837,16.0254257804108,15.992736897485,1.00204398286505,0.0638393808237079,89.8430256513426,0.539735788492497,0.854409668689995,0.859144418584695,0.686646524140105,1.36116067006585,11776.5301369863,18793.8,3222.74137671862,5143.07322965626,TRUE,31.9815880869175,23.9999915856439,6.38123989955669,8.01822533409511,3.99547654920824,2.00682577656279,0.867005045089002,179.804452023725,0.697730504411715,0.999999999976556,0.999999999885976,0.99828186671755,1.19717088002886,11780.1748287671,18786.45,3223.73877568681,5141.06184354818,143.999336724756,0.181733265234999,0.222095384687966,2.24510106175652,0.299970145114183,89.9614263723823,4.29379506726353,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,-0.367460388812933,1.00656807515243,0,Fibroblast singlet,Fibroblast singlet,,0,6.17506925313548
PC1_cellid_000152293-1,PC1_A2,PASC,PC1,singlet,Duct2,Endothelium,,FALSE,FALSE,600.524046918292,606.572298360386,,,Duct2 singlet,988,819,11321.9204382692,18611.6067773556,152293,TRUE,175.817667474727,68.0053625653419,14.9618851383079,18.0160036693225,15.981708981941,1.12728893302933,0.46160799303383,179.738377252539,0.477733897215476,0.829506829758309,0.827751356237512,0.610633792248078,1.44679490674824,11328.2508561645,18612.85,3100.06617699294,5093.55481928123,TRUE,44.090714278421,32.0456608437988,7.49253234727118,8.0091398146117,8.00913981244466,0.999999999928888,2.32624260508378e-05,179.739566391045,0.539533647900176,0.846269943929035,0.853074321035454,0.68734595995608,1.36141563075874,11315.4415525114,18616.4,3096.56080890834,5094.52630508853,131.726953196306,0.250775220199364,0.334712928563433,3.63749777764303,0.486235222253824,0.00118913850607782,3.73467639551838,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,0.329904672587269,-0.983669293915148,0,Duct2 singlet,Duct2 singlet,,0,0
PC1_cellid_000152340-1,PC1_A2,PASC,PC1,singlet,Fibroblast,Bcell,,FALSE,FALSE,218.819462751553,227.362158943433,,,Fibroblast singlet,153,138,11793.926459889,18412.1262038347,152340,TRUE,83.8906812539433,44.0595885995484,10.3350342431602,12.0137097263732,10.0068015203753,1.20055441277876,0.553350515469364,89.738973197636,0.543053616043303,0.839444419459256,0.888201413848669,0.697816607251805,1.35699624192238,11793.4414009112,18420.95,3227.36927894018,5041.03985409212,TRUE,23.9722430472953,23.9999917381536,5.52470884516269,6.0204754247206,5.99310962855474,1.00456620938259,0.0952378471548655,89.9999999961249,0.522993572903164,0.800182481731854,0.887652590408971,0.664393939424937,1.38277597033389,11789.75,18417.35,3226.35909764603,5040.05468538612,59.918438206648,0.285755732175687,0.400081239778288,1.41103636605808,0.273058865627143,0.261026798488928,2.40516269899874,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,-0.367460388812933,0.326111601249728,0,Fibroblast singlet,Fibroblast singlet,,0,0
PC1_cellid_000152348-1,PC1_A2,PASC,PC1,singlet,Duct2,Myeloid,,FALSE,FALSE,386.114749339474,388.923776569436,,,Duct2 singlet,543,453,11290.3225145587,18600.4369531571,152348,TRUE,119.917381751481,63.9822651610937,12.3565186256926,19.664747300212,11.6228251263628,1.69190769729285,0.806635807599239,116.329912499003,0.368105900553342,0.768974956175618,0.794949204550761,0.52466496428118,1.64821404417386,11289.85,18605.55,3089.55747649942,5091.55711607184,TRUE,44.1457574631313,28.0229353268215,7.49720775584792,8.0182253340961,6.02053376093534,1.33181303333573,0.660465782693228,89.8044520237285,0.706433991374431,0.956754256391387,0.958926554069892,0.914483175655756,1.18977326507611,11286.1438566553,18594.65,3088.54326082077,5088.57424415647,75.77162428835,0.368134767576383,0.582615957780023,3.15058063003964,0.509946323940992,26.5254604752743,2.42965543492235,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,0.993981526239148,-0.816481912524907,0.0640481387313994,Duct2 singlet,Duct2 singlet,,2.96610809164301,2.96610809164301
