CellID,KRT19,COL1A1,Duct2_program,Fibroblast_program,program_overlap
PC1_cellid_000152206-1,0,0,-0.367460388812933,-0.730609930882624,0
PC1_cellid_000152252-1,0,5.91106262359492,-0.367460388812933,0.246136244298119,0
PC1_cellid_000152253-1,2.54668400948424,3.59165567984917,0.743129048495401,-0.637406109439018,0.132650636025799
PC1_cellid_000152270-1,2.97136368253703,2.97136368253703,1.33106024338355,-0.816185676362204,0.0641616244184666
PC1_cellid_000152277-1,0,5.6478662737766,-0.367460388812933,0.139906710588552,0
PC1_cellid_000152283-1,3.61013985386154,0,0.695991553056929,-0.983669293915148,0
PC1_cellid_000152292-1,0,6.17506925313548,-0.367460388812933,1.00656807515243,0
PC1_cellid_000152293-1,0,0,0.329904672587269,-0.983669293915148,0
PC1_cellid_000152340-1,0,0,-0.367460388812933,0.326111601249728,0
PC1_cellid_000152348-1,2.96610809164301,2.96610809164301,0.993981526239148,-0.816481912524907,0.0640481387313994
PC1_cellid_000152361-1,0,5.20849211697428,-0.367460388812933,0.458497159511521,0
PC1_cellid_000152362-1,3.92693612562344,0,0.65587957676477,-0.338682947344336,0.247089072521577
PC1_cellid_000152369-1,0,5.28360177830041,-0.367460388812933,0.267182002720516,0
PC1_cellid_000152370-1,3.04452243772342,0,1.07856807475622,-0.757273246596301,0.0867305015865532
PC1_cellid_000152389-1,0,5.30790801407171,0.0225769333173205,0.287519480314375,0.162067246332641
PC1_cellid_000152407-1,0,6.26779959009282,-0.367460388812933,0.909582569727231,0
PC1_cellid_000152414-1,0,6.46676395228646,0.058310204496523,1.17787588400007,0.176915037899974
PC1_cellid_000152419-1,0,5.94033274452507,-0.367460388812933,0.788069926759643,0
PC1_cellid_000152420-1,0,5.55067114056188,-0.367460388812933,0.119073047165493,0
PC1_cellid_000152428-1,4.08563225612294,7.06526372372322,0.237067881227551,0.109476406526987,0.251191941121413
PC1_cellid_000152437-1,0,4.44304663061823,-0.367460388812933,-0.042615360251248,0
PC1_cellid_000152456-1,0,5.79332698530792,-0.367460388812933,0.217734892722374,0
PC1_cellid_000152531-1,2.39789527279837,3.71357206670431,1.30942506058932,-0.210818583067324,0.296072880234318
PC1_cellid_000152537-1,0,0,-0.367460388812933,-0.783977843956455,0
PC1_cellid_000152542-1,0,4.96410324197878,0.0694744695411763,0.128488448868641,0.181553982919985
PC1_cellid_000152554-1,0,0,1.29168118701858,-0.983669293915148,0
PC1_cellid_000152556-1,0,0,1.01247655671386,-0.730365580122884,0.0970386118093276
