type_a,type_b,n_singlet_a,n_singlet_b,p_a,p_b,doublet_pair,expected_probability_unconditional,expected_probability,n_all_doublet,expected,pair_eligible,observed,sample,condition,heterotypic_probability,oe_raw,log2_oe_raw,zero_observed,log2_oe_display,oe_sensitivity,log2_oe_sensitivity
Duct2,Endothelium,241,2,0.432675044883303,0.00359066427289048,Duct2__Endothelium,0.00310718165086753,0.00622674658949979,121,0.753436337329475,FALSE,0,PC1_A2,PASC,0.499005637407373,0,-Inf,TRUE,-0.591557519524631,0.398903386721085,-1.32588872281608
Duct2,Fibroblast,241,312,0.432675044883303,0.560143626570916,Duct2__Fibroblast,0.484720337535335,0.971372467961968,121,117.536068623398,TRUE,96,PC1_A2,PASC,0.499005637407373,0.816770554982551,-0.291997237665723,FALSE,-0.291997237665723,0.817546713690454,-0.290626927965785
Duct2,Myeloid,241,2,0.432675044883303,0.00359066427289048,Duct2__Myeloid,0.00310718165086753,0.00622674658949979,121,0.753436337329475,FALSE,3,PC1_A2,PASC,0.499005637407373,3.98175645553993,1.99340498119653,FALSE,1.99340498119653,2.7923237070476,1.48146619924153
Endothelium,Fibroblast,2,312,0.00359066427289048,0.560143626570916,Endothelium__Fibroblast,0.00402257541523099,0.00806118230673832,121,0.975403059115337,FALSE,7,PC1_A2,PASC,0.499005637407373,7.17652044924772,2.84328451990069,FALSE,2.84328451990069,5.08335668254413,2.34578146353942
Endothelium,Myeloid,2,2,0.00359066427289048,0.00359066427289048,Endothelium__Myeloid,2.57857398412243e-05,5.16742455560149e-05,121,0.0062525837122778,FALSE,0,PC1_A2,PASC,0.499005637407373,0,-Inf,TRUE,6.32133181670533,0.987649280391957,-0.0179292709589974
Fibroblast,Myeloid,312,2,0.560143626570916,0.00359066427289048,Fibroblast__Myeloid,0.00402257541523099,0.00806118230673832,121,0.975403059115337,FALSE,13,PC1_A2,PASC,0.499005637407373,13.3278236914601,3.73636931598417,FALSE,3.73636931598417,9.15004202857943,3.19377837009437
