CellID,sample,query_label,nearest_reference,distance,references_in_radius,strength,area_um2_cell,Fibroblast_program
PC1_cellid_000153905-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,63.3682025972358,41,3.0280823601136e-28,60.027401245767,0.679683778520081
PC1_cellid_000153909-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,49.6383835692162,104,2.76900621469987e-22,148.099866763503,0.68931739442078
PC1_cellid_000154063-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,77.0720847355446,51,3.5967370897038e-34,87.9631280352026,1.01083357631189
PC1_cellid_000154073-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,51.6248619002253,112,3.82024046074801e-23,80.0638693649871,0.35070051535739
PC1_cellid_000154090-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,36.6745871021117,200,1.25867505174668e-16,52.0446416899113,0.0346035261283568
PC1_cellid_000154093-1,PC1_A2,Fibroblast,PC1_cellid_000157108-1,33.0171369516496,200,6.37820227644e-15,36.1637467941381,1.1363102918931
PC1_cellid_000154121-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,62.789669999985,33,5.42602350166741e-28,76.0176336240723,0.305778412852011
PC1_cellid_000154124-1,PC1_A2,Fibroblast,PC1_cellid_000159329-1,7.81031909278014,149,0.000419726163396862,111.907662268422,0.355888748212867
PC1_cellid_000154199-1,PC1_A2,Fibroblast,PC1_cellid_000158553-1,33.128145360243,157,7.8872278909789e-15,59.9996924316931,0.388410823717723
PC1_cellid_000154316-1,PC1_A2,Fibroblast,PC1_cellid_000160927-1,8.59613966824439,173,0.000290475743556238,156.081502989059,0.499169800322323
PC1_cellid_000154329-1,PC1_A2,Fibroblast,PC1_cellid_000153104-1,11.1758156897521,179,1.40165559650972e-05,272.117404110304,0.0458093308199086
PC1_cellid_000154344-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,78.6215412347847,73,7.2199060559679e-35,104.09115559698,1.1528705218039
PC1_cellid_000154377-1,PC1_A2,Fibroblast,PC1_cellid_000161900-1,18.074449773201,166,1.41457722975819e-08,123.853905566418,0.56286625943505
PC1_cellid_000154396-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,64.9925365004429,143,9.13300499896956e-29,87.9088337373646,0.785794196962419
PC1_cellid_000154435-1,PC1_A2,Fibroblast,PC1_cellid_000161224-1,24.9730205210368,100,1.43592281674094e-11,123.96324304896,0.395773329915538
PC1_cellid_000154444-1,PC1_A2,Fibroblast,PC1_cellid_000154443-1,8.05813233040997,177,0.000316540389799574,168.108626068661,0.235404030588595
PC1_cellid_000154461-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,31.8997100359351,59,1.40001264116149e-14,80.0634949215534,0.716742300688719
PC1_cellid_000154537-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,70.8800935649604,55,1.64879473274629e-31,88.0455055905445,0.546867962506142
PC1_cellid_000154595-1,PC1_A2,Fibroblast,PC1_cellid_000153104-1,35.118780792784,177,5.97341180886494e-16,144.027419982253,0.951166147204358
PC1_cellid_000154601-1,PC1_A2,Fibroblast,PC1_cellid_000159329-1,7.84515036561595,142,0.000397834940320438,171.990106698893,0.771972931125072
PC1_cellid_000154646-1,PC1_A2,Fibroblast,PC1_cellid_000155345-1,14.3194732128744,113,6.64233515164133e-07,107.835589930609,0.513255294978671
PC1_cellid_000154677-1,PC1_A2,Fibroblast,PC1_cellid_000162081-1,12.0400462957776,200,5.95731660527315e-06,119.999384863386,0.061292505628364
PC1_cellid_000154682-1,PC1_A2,Fibroblast,PC1_cellid_000159092-1,41.0316582777605,169,1.87810161210837e-18,88.0177967764688,0.930911495002315
PC1_cellid_000154694-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,23.777224767874,58,4.71718043228012e-11,83.9453499952216,1.57116113860224
PC1_cellid_000154716-1,PC1_A2,Fibroblast,PC1_cellid_000160927-1,8.53627620819759,186,0.000199972539245365,68.0359973985211,0.406933257592445
PC1_cellid_000154734-1,PC1_A2,Fibroblast,PC1_cellid_000157358-1,19.3158663653248,200,4.1203790515599e-09,43.9544168686799,0.352978054986786
PC1_cellid_000154819-1,PC1_A2,Fibroblast,PC1_cellid_000157108-1,9.20551472537496,200,0.000117333732860681,103.899440559099,-0.0499928903695637
PC1_cellid_000154821-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,34.4757447731762,60,1.06573310395607e-15,127.871683606402,0.920543211541065
PC1_cellid_000154857-1,PC1_A2,Fibroblast,PC1_cellid_000159706-1,52.8909918227687,153,1.26197982039393e-23,63.9635506172682,1.14510281350117
PC1_cellid_000154878-1,PC1_A2,Fibroblast,PC1_cellid_000152982-1,63.0145309455206,53,4.30477788337992e-28,91.8992774067017,0.693119921763697
PC1_cellid_000154887-1,PC1_A2,Fibroblast,PC1_cellid_000158257-1,18.0553139510894,140,1.55244055121079e-08,75.9633393262381,0.24925329508645
PC1_cellid_000154888-1,PC1_A2,Fibroblast,PC1_cellid_000159706-1,18.1181124584149,188,1.76197973261349e-08,48.0276125367984,0.408395903093451
PC1_cellid_000154913-1,PC1_A2,Fibroblast,PC1_cellid_000157144-1,56.8925706878909,116,2.05364965211318e-25,80.1181636628218,0.395965545885736
